Territori,Tipus de territori,Ús,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Barcelona,Municipi,Residencial,25.15,25.20,25.35,25.18,25.21,25.36,25.34,25.35,27.11,27.10,27.09,27.09,25.47
Barcelona,Municipi,Industrial i infraestructures,13.59,13.59,13.49,13.54,13.45,13.38,13.37,13.36,13.69,13.68,13.68,13.68,13.41
Barcelona,Municipi,Equipament,10.93,10.72,10.72,10.70,10.72,10.06,10.05,10.06,10.11,10.14,10.14,10.14,9.93
Ciutat Vella,Districte,Residencial,29.59,29.59,29.60,29.49,29.57,29.58,29.69,29.71,31.55,31.46,31.46,31.46,30.84
Ciutat Vella,Districte,Industrial i infraestructures,15.49,15.50,12.92,13.15,12.96,12.90,12.82,12.78,13.66,13.65,13.65,13.65,13.41
Ciutat Vella,Districte,Equipament,11.69,11.75,11.75,11.73,11.80,11.80,11.86,11.80,12.42,12.64,12.64,12.64,12.39
el Raval,Barri,Residencial,45.30,45.30,45.30,45.20,45.21,45.25,45.25,45.20,45.11,45.07,45.07,45.07,-
el Raval,Barri,Industrial i infraestructures,9.50,9.50,4.90,4.90,4.92,4.92,4.92,4.93,9.59,9.59,9.59,9.59,-
el Raval,Barri,Equipament,13.80,13.80,13.80,13.80,13.93,13.93,13.96,13.96,13.97,14.03,14.03,14.05,-
el Barri Gòtic,Barri,Residencial,40.60,40.60,40.50,40.50,40.54,40.54,40.54,40.54,41.69,41.84,41.84,41.85,-
el Barri Gòtic,Barri,Industrial i infraestructures,12,12,8.60,8.90,8.88,8.57,8.56,8.58,13.52,13.52,13.52,13.52,-
el Barri Gòtic,Barri,Equipament,11.30,11.30,11.30,11.40,11.34,11.34,11.39,11.40,11.78,11.63,11.63,11.61,-
la Barceloneta,Barri,Residencial,9.90,9.90,10,10,9.96,9.96,10.27,10.31,12.48,12.36,12.36,12.36,-
la Barceloneta,Barri,Industrial i infraestructures,31.70,31.80,29.20,29.10,29.14,29.14,28.88,28.69,26.76,26.61,26.61,26.61,-
la Barceloneta,Barri,Equipament,11.20,11.40,11.40,11.40,11.42,11.42,11.56,11.42,13.29,14.09,14.09,14.09,-
"Sant Pere, Santa Caterina i la Ribera",Barri,Residencial,29,29,29,29,28.99,28.99,29.06,29.12,29.29,29.20,29.19,29.19,-
"Sant Pere, Santa Caterina i la Ribera",Barri,Industrial i infraestructures,4.90,4.90,4.90,4.90,4.88,4.88,4.91,4.91,4.97,4.97,4.97,4.97,-
"Sant Pere, Santa Caterina i la Ribera",Barri,Equipament,10.50,10.50,10.50,10.50,10.49,10.49,10.49,10.43,10.49,10.59,10.59,10.59,-
Eixample,Districte,Residencial,49.91,49.85,49.85,50.03,49.88,49.87,49.77,49.78,49.83,49.85,49.82,49.82,49.83
Eixample,Districte,Industrial i infraestructures,0.19,0.19,0.19,0.19,0.19,0.19,0.21,0.21,0.16,0.16,0.16,0.16,0.16
Eixample,Districte,Equipament,7.40,7.44,7.44,7.46,7.44,7.43,7.45,7.45,7.49,7.47,7.47,7.47,7.49
el Fort Pienc,Barri,Residencial,36,36,36,36,35.95,35.95,35.95,35.95,36.06,36.19,36.19,36.19,-
el Fort Pienc,Barri,Industrial i infraestructures,1.10,1.10,1.10,1.10,1.13,1.13,1.13,1.13,1.23,1.23,1.23,1.23,-
el Fort Pienc,Barri,Equipament,10.70,10.70,10.70,10.70,10.74,10.74,10.74,10.74,10.56,10.44,10.44,10.43,-
la Sagrada Família,Barri,Residencial,49.30,49,49,49,49.00,48.87,48.74,48.74,49.16,49.16,48.92,48.92,-
la Sagrada Família,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,0.02,0.02,0.02,0.02,-
la Sagrada Família,Barri,Equipament,5.40,5.60,5.70,5.60,5.65,5.65,5.76,5.76,6.09,6.17,6.18,6.18,-
la Dreta de l'Eixample,Barri,Residencial,53.60,53.60,53.60,53.60,53.63,53.63,53.63,53.63,53.71,53.71,53.71,53.71,-
la Dreta de l'Eixample,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Dreta de l'Eixample,Barri,Equipament,5.40,5.40,5.40,5.40,5.37,5.37,5.37,5.37,5.38,5.38,5.38,5.38,-
l'Antiga Esquerra de l'Eixample,Barri,Residencial,54.20,54.20,54.20,54.20,54.23,54.23,54.23,54.28,54.48,54.48,54.48,54.48,-
l'Antiga Esquerra de l'Eixample,Barri,Industrial i infraestructures,0.30,0.30,0.30,0.30,0.31,0.31,0.43,0.43,-,-,-,-,-
l'Antiga Esquerra de l'Eixample,Barri,Equipament,9.10,9.10,9.20,9.10,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,-
la Nova Esquerra de l'Eixample,Barri,Residencial,49,49,49,49.10,49.14,49.21,48.82,48.82,48.62,48.60,48.60,48.60,-
la Nova Esquerra de l'Eixample,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Nova Esquerra de l'Eixample,Barri,Equipament,9.20,9.20,9.20,9.20,9.19,9.13,9.12,9.12,9.16,9.16,9.16,9.16,-
Sant Antoni,Barri,Residencial,51.80,51.80,51.80,51.80,51.77,51.77,51.61,51.61,51.25,51.38,51.38,51.38,-
Sant Antoni,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
Sant Antoni,Barri,Equipament,5.90,5.90,5.90,5.90,5.87,5.87,5.93,5.93,5.97,5.89,5.89,5.89,-
Sants-Montjuïc,Districte,Residencial,10.86,10.82,10.77,10.74,10.77,10.89,10.85,10.86,11.08,11.09,11.10,11.09,10.93
Sants-Montjuïc,Districte,Industrial i infraestructures,44.32,44.32,44.35,44.46,44.38,44.26,44.26,44.25,46.55,46.53,46.53,46.53,46.11
Sants-Montjuïc,Districte,Equipament,11.68,11.71,11.69,11.67,11.69,8.87,8.88,8.88,9.02,9.05,9.05,9.06,8.99
el Poble Sec - AEI Parc de Montjuïc,Barri,Residencial,7.80,7.80,7.80,7.80,7.80,8.59,8.38,8.38,8.25,8.28,8.28,8.32,-
el Poble Sec - AEI Parc de Montjuïc,Barri,Industrial i infraestructures,1.60,1.60,1.60,1.80,1.77,0.76,0.76,0.76,0.74,0.74,0.74,0.74,-
el Poble Sec - AEI Parc de Montjuïc,Barri,Equipament,27,27,27,27,27.06,14.28,14.32,14.35,14.60,14.57,14.57,14.53,-
la Marina del Prat Vermell - AEI Zona Franca,Barri,Residencial,2.70,2.60,2.60,2.60,2.58,2.52,2.52,2.52,2.56,2.56,2.56,2.53,-
la Marina del Prat Vermell - AEI Zona Franca,Barri,Industrial i infraestructures,70.20,70.20,70.20,70.20,70.21,70.33,70.33,70.33,74.87,74.84,74.84,74.84,-
la Marina del Prat Vermell - AEI Zona Franca,Barri,Equipament,6.30,6.40,6.40,6.40,6.38,6.38,6.38,6.38,6.47,6.52,6.52,6.55,-
la Marina de Port,Barri,Residencial,32.10,32.10,31.20,31.20,31.17,31.17,31.29,31.38,30.70,30.70,30.70,30.70,-
la Marina de Port,Barri,Industrial i infraestructures,1,1,1,1,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,-
la Marina de Port,Barri,Equipament,24.20,24.20,23.90,23.90,23.93,19.16,19.16,19.08,18.93,18.93,18.93,18.93,-
la Font de la Guatlla,Barri,Residencial,37.80,37.80,37.80,37.80,37.77,37.77,37.77,37.77,38.38,38.38,38.86,38.86,-
la Font de la Guatlla,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Font de la Guatlla,Barri,Equipament,10.60,10.60,10.60,10.60,10.61,10.48,10.48,10.48,10.75,10.75,10.89,10.89,-
Hostafrancs,Barri,Residencial,54.30,54.60,54.60,54.60,54.59,54.59,54.59,54.59,53.94,53.94,53.89,53.89,-
Hostafrancs,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
Hostafrancs,Barri,Equipament,7.20,7.20,7.20,7.20,7.22,7.22,7.22,7.22,8.05,8.05,8.11,8.11,-
la Bordeta,Barri,Residencial,35.80,35.80,35.80,35.80,35.81,35.81,35.81,36.08,36.23,36.23,36.23,36.32,-
la Bordeta,Barri,Industrial i infraestructures,1.30,1.30,1.30,1.30,1.26,1.26,1.26,1.14,0.18,0.18,0.18,0.18,-
la Bordeta,Barri,Equipament,12.10,12.10,12.10,12.10,12.10,12.11,12.08,11.88,11.96,11.96,11.96,11.87,-
Sants - Badal,Barri,Residencial,61.20,61.20,61.20,61.20,61.21,61.21,61.21,61.21,60.51,60.51,60.51,60.51,-
Sants - Badal,Barri,Industrial i infraestructures,0.30,0.30,0.30,0.30,0.28,0.28,0.28,0.28,-,-,-,-,-
Sants - Badal,Barri,Equipament,6.50,6.50,6.50,6.50,6.46,6.46,6.45,6.45,6.38,6.38,6.38,6.38,-
Sants,Barri,Residencial,50.60,50.60,50.60,50.60,50.60,50.60,50.61,50.61,54.23,54.23,54.23,54.23,-
Sants,Barri,Industrial i infraestructures,4.60,4.60,4.60,4.60,4.64,4.64,4.64,4.64,-,-,-,-,-
Sants,Barri,Equipament,6.20,6.20,6.20,6.20,6.06,6.25,6.25,6.25,6.30,6.30,6.30,6.30,-
Les Corts,Districte,Residencial,29.80,29.78,29.78,29.71,29.77,29.93,29.95,29.96,29.63,29.61,29.61,29.66,29.66
Les Corts,Districte,Industrial i infraestructures,0.14,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.19,0.19,0.18
Les Corts,Districte,Equipament,24.93,24.92,24.91,24.92,24.91,24.88,24.68,24.88,25.07,25.06,25.07,25.03,25.04
les Corts,Barri,Residencial,46,46,46,45.90,45.94,46.21,46.21,46.22,45.90,45.90,45.90,45.90,-
les Corts,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
les Corts,Barri,Equipament,5.50,5.50,5.50,5.50,5.55,5.27,5.27,5.26,5.61,5.61,5.62,5.62,-
la Maternitat i Sant Ramon,Barri,Residencial,17.40,17.20,17.20,17.20,17.17,17.17,17.16,17.15,16.62,16.45,16.45,16.62,-
la Maternitat i Sant Ramon,Barri,Industrial i infraestructures,0.20,0.40,0.40,0.40,0.44,0.44,0.44,0.44,0.40,0.40,0.40,0.40,-
la Maternitat i Sant Ramon,Barri,Equipament,49.90,49.80,49.80,49.80,49.81,49.82,49.18,49.82,49.53,49.63,49.63,49.53,-
Pedralbes,Barri,Residencial,30,30.20,30.20,30.20,30.18,30.40,30.47,30.47,30.37,30.44,30.44,30.44,-
Pedralbes,Barri,Industrial i infraestructures,0.20,0.20,0.20,0.20,0.18,0.18,0.18,0.18,0.18,0.18,0.13,0.13,-
Pedralbes,Barri,Equipament,17.50,17.50,17.50,17.50,17.51,17.57,17.57,17.57,17.86,17.75,17.76,17.76,-
Sarrià-Sant Gervasi,Districte,Residencial,22.80,22.75,22.73,22.73,22.74,22.76,22.84,22.84,30.71,30.67,30.65,30.65,22.72
Sarrià-Sant Gervasi,Districte,Industrial i infraestructures,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.31,0.31,0.31,0.31,0.75
Sarrià-Sant Gervasi,Districte,Equipament,7.97,7.73,7.73,7.71,7.73,7.71,7.71,7.71,7.61,7.63,7.65,7.65,7.48
"Vallvidrera, el Tibidabo i les Planes",Barri,Residencial,7.90,7.80,7.80,7.80,7.77,7.77,7.77,7.76,21.40,21.40,21.36,21.36,-
"Vallvidrera, el Tibidabo i les Planes",Barri,Industrial i infraestructures,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.34,0.34,0.34,0.34,-
"Vallvidrera, el Tibidabo i les Planes",Barri,Equipament,3.10,2.70,2.70,2.70,2.72,2.72,2.72,2.72,2.44,2.44,2.47,2.47,-
Sarrià,Barri,Residencial,30.80,30.90,30.90,30.90,30.92,31.03,31.57,31.61,31.55,31.32,31.32,31.32,-
Sarrià,Barri,Industrial i infraestructures,0.80,0.80,0.80,0.80,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,-
Sarrià,Barri,Equipament,18.10,17.90,17.90,17.90,17.91,17.72,17.72,17.72,17.86,17.96,17.96,17.96,-
les Tres Torres,Barri,Residencial,53.90,53.90,53.90,53.90,53.94,54.01,54.01,54.01,53.90,53.90,53.90,53.90,-
les Tres Torres,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
les Tres Torres,Barri,Equipament,12.80,12.80,12.80,12.80,12.81,12.81,12.81,12.81,12.75,12.75,12.75,12.75,-
Sant Gervasi - la Bonanova,Barri,Residencial,36.80,36.90,36.70,36.70,36.73,36.71,36.72,36.72,36.74,36.74,36.74,36.74,-
Sant Gervasi - la Bonanova,Barri,Industrial i infraestructures,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
Sant Gervasi - la Bonanova,Barri,Equipament,19.90,19.90,19.90,19.90,19.93,19.93,19.93,19.92,19.87,19.87,19.87,19.87,-
Sant Gervasi - Galvany,Barri,Residencial,57.30,57.50,57.50,57.50,57.57,57.61,57.61,57.56,57.14,57.14,57.14,57.14,-
Sant Gervasi - Galvany,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
Sant Gervasi - Galvany,Barri,Equipament,5.20,5.20,5.20,5.20,5.24,5.24,5.24,5.25,5.21,5.21,5.21,5.21,-
el Putxet i el Farró,Barri,Residencial,62.70,62.90,62.90,62.90,62.88,62.91,62.87,62.79,62.67,62.63,62.63,62.63,-
el Putxet i el Farró,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
el Putxet i el Farró,Barri,Equipament,7.40,7.40,7.40,7.40,7.36,7.46,7.47,7.55,7.54,7.54,7.54,7.54,-
Gràcia,Districte,Residencial,47.27,47.99,48.01,47.41,47.97,47.89,47.89,47.98,48.07,47.93,47.93,47.99,48.06
Gràcia,Districte,Industrial i infraestructures,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.17,0.17,0.17,0.17
Gràcia,Districte,Equipament,15.30,11.04,11.06,11.12,11.06,11.06,11.07,10.98,10.99,10.86,10.85,10.87,11.25
Vallcarca i els Penitents,Barri,Residencial,37.80,38.90,38.90,38.90,38.90,38.79,38.79,38.91,38.86,38.54,38.54,38.54,-
Vallcarca i els Penitents,Barri,Industrial i infraestructures,0.40,0.40,0.40,0.40,0.35,0.35,0.35,0.35,0.35,0.56,0.56,0.56,-
Vallcarca i els Penitents,Barri,Equipament,14.30,13.10,13.10,13.10,13.06,12.88,12.92,12.80,12.77,12.43,12.43,12.43,-
el Coll,Barri,Residencial,31,34.70,34.70,34.70,34.65,34.65,34.65,34.65,35.20,35.20,35.20,35.20,-
el Coll,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
el Coll,Barri,Equipament,8,3.40,3.40,3.40,3.39,3.39,3.39,3.39,3.47,3.47,3.47,3.47,-
la Salut,Barri,Residencial,29.60,30.10,30.40,30.10,30.12,29.82,29.82,30.13,30.01,30.13,30.13,30.13,-
la Salut,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Salut,Barri,Equipament,44.10,21.10,21.10,21.10,21.14,21.44,21.44,21.11,20.98,20.87,20.87,20.87,-
la Vila de Gràcia,Barri,Residencial,63,63,62.90,62.90,62.94,62.94,62.94,62.94,63.33,63.41,63.41,63.60,-
la Vila de Gràcia,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Vila de Gràcia,Barri,Equipament,8.30,8.30,8.40,8.40,8.37,8.37,8.37,8.37,8.42,8.34,8.34,8.41,-
el Camp d'en Grassot i Gràcia Nova,Barri,Residencial,59.30,59.30,59.30,59.30,59.33,59.33,59.32,59.32,59.28,59.23,59.23,59.23,-
el Camp d'en Grassot i Gràcia Nova,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
el Camp d'en Grassot i Gràcia Nova,Barri,Equipament,7.10,7.10,7.10,7.10,7.08,7.08,7.08,7.08,7.00,7.00,6.92,6.92,-
Horta-Guinardó,Districte,Residencial,24.41,24.70,26.07,24.81,24.73,24.74,24.67,24.64,24.35,24.31,24.31,24.31,24.31
Horta-Guinardó,Districte,Industrial i infraestructures,0.32,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28
Horta-Guinardó,Districte,Equipament,12.09,12.09,12.09,12.10,12.09,12.09,12.09,12.08,12.15,12.25,12.25,12.25,12.08
el Baix Guinardó,Barri,Residencial,42.40,42.40,42.40,42.40,42.39,42.39,42.39,42.39,42.16,42.16,42.16,42.16,-
el Baix Guinardó,Barri,Industrial i infraestructures,0.30,0.30,0.30,0.30,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,-
el Baix Guinardó,Barri,Equipament,12.20,12.20,12.20,12.20,12.21,12.21,12.21,12.21,12.13,12.13,12.13,12.13,-
